"","confirmation_code","Gender","SES","X1.111","X1.112","Al.IW2.1"
"864",78860145,2,8,NA,NA,NA
"866",65253267,1,7,NA,NA,NA
"867",86063146,2,8,NA,NA,NA
"868",34943513,2,6,NA,NA,NA
"869",39108195,2,5,NA,NA,NA
"870",62417992,2,9,NA,NA,NA
"872",56436666,1,5,NA,NA,NA
"874",35557304,2,7,NA,NA,NA
"876",11654772,2,5,NA,NA,NA
"877",11886217,1,5,NA,NA,NA
"878",33133723,2,8,NA,NA,NA
"879",79652945,2,10,NA,NA,NA
"881",67438539,2,4,NA,NA,NA
"883",81066623,1,6,NA,NA,NA
"884",92869707,1,8,NA,NA,NA
"885",15586911,2,8,NA,NA,NA
"886",17726873,2,8,NA,NA,NA
"887",30689335,1,5,NA,NA,NA
"888",58208894,2,6,1,NA,NA
"891",62255329,2,5,NA,NA,NA
"892",29582253,1,7,NA,NA,NA
"896",23384078,2,3,NA,NA,NA
"899",63958481,1,6,NA,NA,NA
"901",26189381,2,5,NA,NA,NA
"902",36554334,1,6,NA,NA,NA
"904",81592605,2,6,NA,NA,NA
"906",34033231,1,5,NA,NA,NA
"907",27776732,1,9,NA,NA,NA
"908",47009844,2,5,NA,NA,NA
"909",67110713,1,6,NA,NA,NA
"910",39380804,2,5,NA,NA,NA
"911",75663571,1,5,NA,NA,NA
"913",23204910,1,8,NA,NA,NA
"914",64165355,2,4,NA,NA,NA
"920",23611652,2,5,NA,NA,NA
"923",31422249,1,6,NA,NA,NA
"925",30493527,1,6,NA,NA,NA
"927",26291654,2,6,NA,NA,NA
"928",24752199,1,6,NA,NA,NA
"929",97707637,2,5,NA,NA,NA
"932",29075974,2,4,NA,NA,NA
"933",23643442,2,6,NA,NA,NA
"936",82473280,2,6,NA,NA,NA
"937",93383287,2,7,NA,NA,NA
"938",60316944,2,4,NA,NA,NA
"941",42685722,1,9,NA,NA,NA
"943",36130806,1,5,NA,NA,NA
"944",54190698,2,6,NA,NA,NA
"945",28873976,1,5,NA,NA,NA
"947",46024325,2,6,NA,NA,NA
"949",19372784,1,8,NA,NA,NA
"952",55407088,2,7,NA,NA,NA
"953",76072319,1,9,NA,NA,NA
"955",12120766,1,5,NA,NA,NA
"960",81179242,2,8,NA,NA,NA
"961",48105764,2,6,NA,NA,NA
"963",63397573,2,5,NA,NA,NA
"965",59069533,2,8,1,NA,NA
"966",64811791,2,8,NA,NA,NA
"970",35644403,2,6,NA,NA,NA
"977",18625596,1,6,NA,NA,NA
"978",43424475,2,5,NA,NA,NA
"979",28843391,1,4,NA,NA,NA
"980",76325619,2,7,NA,NA,NA
"983",85790276,2,8,NA,NA,NA
"984",55358602,1,3,NA,NA,NA
"985",64416355,1,8,NA,NA,NA
"986",29175973,1,5,NA,NA,NA
"987",77166561,2,7,NA,NA,NA
"988",80822947,1,5,NA,NA,NA
"989",51379124,2,4,NA,NA,NA
"990",68582541,1,5,NA,NA,NA
"991",12710037,2,4,NA,1,2
"992",63947022,1,4,NA,NA,NA
"994",16423432,2,3,NA,NA,NA
"995",39844158,2,7,NA,NA,NA
"996",81920150,1,7,NA,NA,NA
"998",97793269,1,5,NA,NA,NA
"999",80019917,1,9,NA,NA,NA
"1000",10874641,2,7,NA,NA,NA
"1001",24866714,2,5,NA,NA,NA
"1003",64193410,2,6,NA,NA,NA
"1004",29426693,2,7,NA,NA,NA
"1005",11183681,2,7,NA,NA,NA
"1006",74513710,2,5,NA,NA,NA
"1007",56459398,2,5,NA,NA,NA
"1011",19262185,1,6,NA,NA,NA
"1012",17386252,NA,NA,NA,NA,NA
"1013",33952764,1,4,NA,NA,NA
"1018",30460846,1,6,NA,NA,NA
"1019",84365047,1,7,1,NA,NA
"1020",18657599,2,7,NA,NA,NA
"1021",95392129,1,7,NA,NA,NA
"1022",79154985,1,5,NA,NA,NA
"1025",68513103,1,5,NA,NA,NA
"1027",87414094,1,9,NA,NA,NA
"1029",73510879,2,4,NA,NA,NA
"1031",28165708,2,8,NA,NA,NA
"1032",18087716,1,7,NA,1,2
"1034",30664482,NA,NA,NA,NA,NA
"1038",71468044,2,6,NA,NA,NA
"1040",94261957,2,2,1,NA,NA
"1044",73874852,2,5,NA,NA,NA
"1047",32575282,1,6,NA,NA,NA
"1054",29645245,1,6,NA,NA,NA
"1056",39300532,1,7,NA,NA,NA
"1059",63582395,2,8,NA,NA,NA
"1060",55043532,2,6,NA,NA,NA
"1064",74718140,1,6,NA,NA,NA
"1066",93078226,2,7,NA,NA,NA
"1067",80663870,2,8,NA,NA,NA
"1068",17690056,2,8,NA,NA,NA
"1069",52666543,2,7,NA,NA,NA
"1070",99047109,2,5,NA,NA,NA
"1072",98082381,NA,5,NA,NA,NA
"1073",91620016,2,5,NA,NA,NA
"1074",69807746,2,5,NA,NA,NA
"1077",11562800,2,5,NA,NA,NA
"1078",23487082,2,9,NA,NA,NA
"1081",22590571,1,6,NA,NA,NA
"1082",36578068,1,5,NA,NA,NA
"1084",14367271,2,9,1,NA,NA
"1087",71234486,2,5,NA,NA,NA
